阿母为汝求	bxyf
阿母谢媒人	bxyw
阿那曲	bvma
阿若憍陈如	banv
蔼蔼帝王州	aauy
哀哀父母	yywx
蔼蔼树色深	aasi
暧暧远人村	jjfs
哀多如更闻	yqvu
爱而不见	edgm
哀而不伤	ydgw
哀公问曰	ywuj
爱国治民	elin
爱酒不愧天	eigg
爱君得自遂	evtu
哀鸣嗷嗷	ykkk
欸乃曲	cema
爱神仙	epwm
爱他明月好	ewjv
哀王孙	ygbi
哀吾生之须臾	ygtv
爱以身为天下	entg
哀怨起骚人	yqfw
哀乐不能入也	yqgb
哀哉王孙慎勿疏	yfgn
爱之欲其生	epwt
爱竹最知王子猷	etju
暗暗淡淡紫	jjih
黯黯见临洮	llmi
安禅制毒龙	pprd
暗尘随马去	jibf
安得长苦悲	pttd
安得临仙坛	ptjf
安得上方断马剑	pthw
安得倚天抽宝剑	ptww
安得倚天剑	ptww
安得至老不更归	ptgj
安得壮士挽天河	ptui
安定城楼	ppfs
暗飞萤自照	jnaj
安凤	pvmc
暗风吹雨入寒窗	jmkp
安鸿渐	piil
岸花飞送客	manp
安乐公主	pqwy
安且吉兮	pefw
岸容待腊将舒柳	mpts
安上纯父	phxw
岸上蝴蝶飞	mhjn
岸上沙	mhii
安石东山三十春	pdad
安时而处顺	pjdk
安守范	ppai
暗水流花径	jiit
安危定变	pqpy
安危托妇人	pqrw
安危相易	pqsj
暗香疏影	jtnj
暗相思	jsln
安心是药更无方	pnjy
安阳好	pbvb
安在其不辱也	pdab
安知峰壑今来变	ptmy
暗掷金钱卜远人	jrqw
安知千里外	pttq
安知鱼之乐	ptqq
卬须我友	qetd
傲吏身闲笑五侯	wgtw
傲世似未敬	wawa
翱翔蓬蒿之间	ruau
八哀诗	wyyf
八宝妆	wpuv
八庚	wtyv
罢归无旧业	ljfo
把剑觅徐君	rwev
拔剑起蒿莱	rwfa
拔剑撞而破之	rwrp
芭蕉叶大栀子肥	aake
芭蕉雨	aafg
八节同欢	wamc
把酒话桑麻	riyy
把酒酹滔滔	risi
把酒留君听琴	riqg
把酒问天	riug
八骏日行三万里	wcjj
灞陵伤别	ibwk
巴陵无限酒	cbfi
巴陵一望洞庭秋	cbgt
八年七旱	wraj
八拍蛮	wryo
八齐	wtyj
八千岁为秋	wtmt
巴人讼芋田	cwyl
把汝裁为三截	riff
罢如江海凝清光	lvii
八塞	wtpf
八上	wthh
灞上秋居	ihtn
灞水流浩浩	iiii
巴水流若兹	ciiu
八岁偷照镜	wmwq
巴谈	cnyo
八万四千人	wdlw
八佾第三	wwtd
把意念沉潜得下	ruwg
八佾舞于庭	wwry
八音谐	wuyx
巴渝辞	citd
灞原风雨定	idmp
八月剥枣	wevg
八月洞庭秋	weit
八月蝴蝶来	wejg
八月十八潮	wefi
八月十五夜	wefy
八月萧关道	weau
八月在宇	wedp
八阵图	wblt
白波九道流雪山	rivm
百步九折萦岩峦	dhvy
百草竞春华	dauw
拜臣郎中	rayk
百尺楼	dnso
百尺楼高水接天	dnsg
百川灌河	dkii
白帝城边古木疏	rufn
白帝城高急暮砧	rufd
白帝城头月向西	rufs
白帝城下雨翻盆	rufw
白帝城中云出门	rufu
白帝高为三峡镇	ruyq
百堵皆作	dfxw
拜而受之	rdep
百尔所思	dqrl
百发百中无虚弦	dndx
白发悲花落	rnda
白发催年老	rnwf
白发自然生	rntt
百夫之特	dfpt
百舸争流	dtqi
白鸽子	rwbb
白骨乱蓬蒿	rmta
百官之富	dppp
